"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:2f8Hc0w7BpDtzwoa6BHKec","Griechischer Wein","spotify:artist:2G0htB8PxlO2onxnIismur","Udo Jürgens","spotify:album:56ai76GnHunah8IjNeP8IR","Meine Lieder","spotify:artist:2G0htB8PxlO2onxnIismur","Udo Jürgens","1983-12-02","https://i.scdn.co/image/ab67616d0000b27386f8b7ae69137fea4479cbf3","1","1","244693","https://p.scdn.co/mp3-preview/83c99c0fa028bb3dd6b3c494bddc2a1bd2cb17ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","DEA817400019","spotify:user:sebastianelisapfeifer","2023-06-23T13:21:10Z"
"spotify:track:3mEKYoWxm8ULDEVvgiGYQe","Über den Wolken","spotify:artist:119CgQj02xyMpOobWjdb3C","Reinhard Mey","spotify:album:7LQ2EtWkdK6UsuMqFyDC19","Wie vor Jahr und Tag","spotify:artist:119CgQj02xyMpOobWjdb3C","Reinhard Mey","1974-01-01","https://i.scdn.co/image/ab67616d0000b2733561b38c4b02c34a078f1c23","1","8","231666","https://p.scdn.co/mp3-preview/85f6be6a0f59c30db51d7da72fa9a13949f9f40f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","DEC649200147","spotify:user:sebastianelisapfeifer","2023-06-23T13:21:29Z"
"spotify:track:6eQoff8rrvxJVQl0uhWyJT","Märchenprinz","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","spotify:album:5gk2x7xV906aYwiAfmuclZ","Geld Oder Leben","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","1985-01-01","https://i.scdn.co/image/ab67616d0000b27346bb82bca46be0b7288e0cd7","1","8","211580","https://p.scdn.co/mp3-preview/2e9f351a42cf407201560639c47bb02e17c07a07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ATE068500080","spotify:user:sebastianelisapfeifer","2023-06-23T13:21:52Z"
"spotify:track:7CrSCSovA6UvRbZFEbwWuk","Ding Dong","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","spotify:album:6sHv1zPdMm7W2WmIM1I3AC","Neppomuk's Rache (Dieses Land braucht einen Kaiser)","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","1990-05-21","https://i.scdn.co/image/ab67616d0000b273dbc274ccedb2a8f1d919028a","1","3","238040","https://p.scdn.co/mp3-preview/1f486f82c1c0caaeb4eb3b5fc06bb7cdc19a43c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ATB792030303","spotify:user:sebastianelisapfeifer","2023-06-23T13:22:05Z"
"spotify:track:4ZhPLoMzZwewHLLjV1J15c","99 Luftballons","spotify:artist:6Tz0QRoe083BcOo2YbG9lV","Nena","spotify:album:78hVLZZJhaXgrnfXKc6yxF","Nena","spotify:artist:6Tz0QRoe083BcOo2YbG9lV","Nena","1983-09-23","https://i.scdn.co/image/ab67616d0000b2730a043c8c45330aa972c46339","1","6","232466","https://p.scdn.co/mp3-preview/c4c8b07136c8d99f1f1ba95f43162e1774e8b30c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","DEE868300011","spotify:user:sebastianelisapfeifer","2023-06-23T13:22:13Z"
"spotify:track:5i30V8zohIAzKiu617O3cL","Irgendwie, irgendwo, irgendwann","spotify:artist:6Tz0QRoe083BcOo2YbG9lV","Nena","spotify:album:1bSZnppVaPgdVOQD4boO66","Einmal ist keinmal","spotify:artist:6Tz0QRoe083BcOo2YbG9lV","Nena","2004-02-16","https://i.scdn.co/image/ab67616d0000b273b71ad8fefbfd5f3449e93482","1","12","249706","https://p.scdn.co/mp3-preview/fa277d0d67824270564266090790097424766d8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","DEE869901718","spotify:user:sebastianelisapfeifer","2023-06-23T13:22:17Z"
"spotify:track:23s49X38CjDiyImFPjNA4b","Junge Roemer","spotify:artist:0hLd40hVpRDGENe4KGZLnW","Falco","spotify:album:6yGNk4dQ1Du3hniGS1SKWg","Junge Roemer","spotify:artist:0hLd40hVpRDGENe4KGZLnW","Falco","1984-02-19","https://i.scdn.co/image/ab67616d0000b273c4660a03ae1bca8bfd7dc339","1","1","270842","https://p.scdn.co/mp3-preview/4b8f745b749523175c978838d309e6f6a312f370?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ATB158400012","spotify:user:sebastianelisapfeifer","2023-06-23T13:22:24Z"
"spotify:track:4HCdu48LScraIfJ7Ik7EhE","Da Da Da ich lieb dich nicht du liebst mich nicht Aha Aha Aha - Lange Version","spotify:artist:417rMeQ1e1B90lsiS1iMZ1","Trio","spotify:album:39HzuoE8coAbqrKpPapa58","Da Da Da","spotify:artist:417rMeQ1e1B90lsiS1iMZ1","Trio","1996-12-19","https://i.scdn.co/image/ab67616d0000b273622522eb397b53d5e9c05557","1","1","392360","https://p.scdn.co/mp3-preview/f2228a7375a0e0afdf72a0b84eaac4a79eb73ad9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","DEF078202720","spotify:user:sebastianelisapfeifer","2023-06-23T13:22:32Z"
"spotify:track:3IchfVcS6QwpKLFuRE1Qyd","Ich war noch niemals in New York","spotify:artist:2G0htB8PxlO2onxnIismur","Udo Jürgens","spotify:album:1M3JlEmNNZnKtnhi2nkj6u","Silberstreifen","spotify:artist:2G0htB8PxlO2onxnIismur","Udo Jürgens","1982","https://i.scdn.co/image/ab67616d0000b27312a390235482d356c6e42968","1","7","284773","https://p.scdn.co/mp3-preview/20af691b25a3e81cd28152beb52dbdfed63846fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","DEA818200038","spotify:user:sebastianelisapfeifer","2023-06-23T13:22:47Z"
"spotify:track:6lXKNdOsnaLv9LwulZbxNl","Major Tom (...völlig losgelöst)","spotify:artist:7ip3CWlgPZbQHvgJpmcGSS","Peter Schilling","spotify:album:1rYXSHYaxxQ9HclnAeVhxv","Von Anfang An...Bis Jetzt !","spotify:artist:7ip3CWlgPZbQHvgJpmcGSS","Peter Schilling","1999","https://i.scdn.co/image/ab67616d0000b273ed4b6d22cb8de1aef4dc1927","1","1","299560","https://p.scdn.co/mp3-preview/62aa3c1d8985ab7c7141d53373026bebf03646c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","DEA629252500","spotify:user:sebastianelisapfeifer","2023-06-23T13:23:22Z"
