"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:21TzvRORDFMAxLScMKDu2e","First and Last and Always","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:2wOuYERNvxVipFb2JlwvwA","First and Last and Always","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","1985-01-01","https://i.scdn.co/image/ab67616d0000b27337c60f6a28601243d27d95ac","1","6","255226","https://p.scdn.co/mp3-preview/063b95c02d69fe122d6a704868e5499e3a5ec8e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBAHS0104740","spotify:user:sebastianelisapfeifer","2016-04-27T18:35:05Z"
"spotify:track:3xoTGSzIuC0EY4r9ZHBke6","Never Land (A Fragment) - 2006 Remaster","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:7eLzF93T0FDx4hkuQ4juEj","Floodland (2006 Remaster; Expanded Deluxe Version)","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","1987","https://i.scdn.co/image/ab67616d0000b2735dce0574efb7374e210ddf48","1","8","169439","https://p.scdn.co/mp3-preview/87776e0f5779479a6ea71ad80be3d290f00594bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBAHS0600505","spotify:user:sebastianelisapfeifer","2016-04-27T18:35:10Z"
"spotify:track:0cddvowG9DCT9VeZxRlPJm","Temple of Love - Extended Version 1983","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:4gcUrLYtJEV4TPl9vvO0UF","A Slight Case Of Overbombing","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","1993","https://i.scdn.co/image/ab67616d0000b27324e2c8bd55963e506bc8766e","1","2","488011","","false","0","GBAHS0104669","spotify:user:sebastianelisapfeifer","2016-04-27T18:35:22Z"
"spotify:track:1f1dnYum5WFGzza6sKV8KL","Under The Gun","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:4gcUrLYtJEV4TPl9vvO0UF","A Slight Case Of Overbombing","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","1993","https://i.scdn.co/image/ab67616d0000b27324e2c8bd55963e506bc8766e","1","1","343026","","false","0","GBAHS0104668","spotify:user:sebastianelisapfeifer","2017-12-31T15:27:19Z"
"spotify:track:3MMfEMBb5T4dZjuMVBd1Mx","Night","spotify:artist:2XXNoTPVWeJLtaG0s0RHhX","Gild The Mourn","spotify:album:5rarCgkDv0MXbSmGoqgdXt","I-VIII","spotify:artist:2XXNoTPVWeJLtaG0s0RHhX","Gild The Mourn","2016-01-30","https://i.scdn.co/image/ab67616d0000b273bb6500426ec9d46b9d8ee5a1","1","6","196048","https://p.scdn.co/mp3-preview/20858370f2fd280abfe00697540465a3e4bbc18d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMPKX1639366","spotify:user:sebastianelisapfeifer","2018-01-22T13:08:08Z"
"spotify:track:2xStMW45qfOPKABhoyk4ZZ","Sinking","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:7zJzNs8eVgbkVVSQSwKRtx","The Head On The Door","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1985-08-26","https://i.scdn.co/image/ab67616d0000b2731dda5f57ba5c203f775ea2dd","1","10","297506","https://p.scdn.co/mp3-preview/ebdf2e1bf16a48112d56a2a4b361723d74045c22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBALB8500010","spotify:user:sebastianelisapfeifer","2018-01-26T12:40:17Z"
"spotify:track:1Z1pFCLtQof3Qlq1ApMAQc","Boy Sinister","spotify:artist:0nGkRbjHNrPwbjseJ2pckm","The Merry Thoughts","spotify:album:7nOefMeAUUBtNmJ6ocvFaq","Second Generation","spotify:artist:0nGkRbjHNrPwbjseJ2pckm","The Merry Thoughts","2011-06-07","https://i.scdn.co/image/ab67616d0000b273a80e36603c3b789589336784","1","4","210837","https://p.scdn.co/mp3-preview/b8e3a49ee9ec7b8aca07f9a64e27a2ff170d61c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","CAAD21110493","spotify:user:sebastianelisapfeifer","2018-01-28T19:53:48Z"
"spotify:track:2JO3HwMRPeya8bXbtbyPcf","Love Will Tear Us Apart","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","spotify:album:0p8Zy0wEzDYiFDcSt07UHe","The Best Of","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","2008-03-20","https://i.scdn.co/image/ab67616d0000b27365792edb445d4a107dbe97fd","1","9","206866","https://p.scdn.co/mp3-preview/2a20526f1592a136a736bb394417dd396cabbdc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAAP9700227","spotify:user:sebastianelisapfeifer","2018-01-29T12:59:20Z"
"spotify:track:3ePwkVyUDNo4UnITQWZcRS","Spellbound","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","spotify:album:5ShmAjEGEkWROooVfA0Amb","Juju (Remastered & Expanded)","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","1981","https://i.scdn.co/image/ab67616d0000b273bf43035d2f880643bd108d01","1","1","197013","","false","0","GBAKW8101063","spotify:user:sebastianelisapfeifer","2018-01-29T13:11:16Z"
"spotify:track:274g0POltAmmFwUOkRN8y5","Flood II - Vinyl Version","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:45hGlbZBJac3W0GuKfk9c8","Floodland Collection","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","1987-11-13","https://i.scdn.co/image/ab67616d0000b27325a0bf458b6b880eafef419f","1","6","374426","https://p.scdn.co/mp3-preview/6980ed524103a20a6f966ae7811f72391ab2c4d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBCRL1500218","spotify:user:sebastianelisapfeifer","2018-01-29T13:11:16Z"
