"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At"
"spotify:track:5E4MtBoFdkuNTEqYC23TSH","I Want to Conquer the World","spotify:artist:2yJwXpWAQOOl5XFzbCxLs9","Bad Religion","spotify:album:5hosHbfLPbpvCUSS29fFfF","No Control (Re-Issue)","1989","1","6","137773","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:26:01Z"
"spotify:track:3qriuhIxVQXmdHRIIzP4Fe","American Jesus","spotify:artist:2yJwXpWAQOOl5XFzbCxLs9","Bad Religion","spotify:album:6AXQoe0HIyZJ4TLlAmwG6d","Recipe For Hate","1993","1","3","197533","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:26:07Z"
"spotify:track:5nRBTzF9dLIlNqnl0xWo9g","Wash It All Away","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","spotify:album:4KXYNMizBHgXUFM1UOUhoJ","Got Your Six","2015-09-04","1","3","224906","false","64","spotify:user:sebastianelisapfeifer","2017-02-22T15:26:25Z"
"spotify:track:002KIBXwb0pa66mPGuPKMr","When You Don't See Me","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:39YeTqcH6bORvAQDgiTgrb","Vision Thing","1990-03-01","1","5","294249","false","34","spotify:user:sebastianelisapfeifer","2017-02-22T15:27:02Z"
"spotify:track:72HUyOvpvwX2Z2o2R3cf4X","Refugee","spotify:artist:4tX2TplrkIP4v05BNC903e","Tom Petty and the Heartbreakers","spotify:album:2uxG4gg4WnqR5eriMN6ehS","Greatest Hits","2010-01-01","1","5","202000","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:28:27Z"
"spotify:track:1jvqZQtbBGK5GJCGT615ao","This Is the End (For You My Friend)","spotify:artist:30sqtiTKIb1oDve0SdYayT","Anti-Flag","spotify:album:3B3gJszXnaDZMz8YVRZ1J2","For Blood And Empire","2006","1","6","192066","false","58","spotify:user:sebastianelisapfeifer","2017-02-22T15:28:33Z"
"spotify:track:0Dk6z7iOJzFYywJvxjNltW","Yellow Submarine - Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0PYyrqs9NXtxPhf0CZkq2L","Revolver (Remastered)","1966-08-05","1","6","158880","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:28:40Z"
"spotify:track:2pE8dUPeueXKizEyiPtE1p","In The Air Tonight","spotify:artist:4lxfqrEsLX6N1N4OCSkILp","Phil Collins","spotify:album:7Jigl7PJCgN4mAODbJYkFT","R-Kive","2014-01-01","2","9","330485","false","52","spotify:user:sebastianelisapfeifer","2017-02-22T15:28:49Z"
"spotify:track:2eBUoHvffUTAqC0c4YHyTu","Cold Hands","spotify:artist:35C0NSLogAwImm8HAMqEmG","Black Lips","spotify:album:5xyf2bbQjF0yONbosNl53M","Good Bad Not Evil","2007-09-11","1","10","146106","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:29:11Z"
"spotify:track:4ImIJRZNJhNQLLdUFSYJoS","Down with the Sickness","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","spotify:album:07w0hGS9XUdFsPBvDHy16y","The Sickness (10th Anniversary Edition)","2010-03-12","1","4","278706","true","68","spotify:user:sebastianelisapfeifer","2017-02-22T15:29:16Z"
"spotify:track:7Gjz9hnR8IlQvptOxZzygX","I Want It All - Single Version","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:1HmWxU8jJ27zCs3thz4yX5","The Miracle (Deluxe Edition 2011 Remaster)","1989-05-22","2","1","242093","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:29:36Z"
