"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6x53YxdtkR2rGLptZCLgUx","Les passants","spotify:artist:1mbgj8ERPs8lWi7t5cYrdy","Zaz","spotify:album:6MuoqipFgorIZEYwGWEFAU","Zaz","spotify:artist:1mbgj8ERPs8lWi7t5cYrdy","Zaz","2010-05-10","https://i.scdn.co/image/ab67616d0000b2733b5969aba116e8248a3e6369","1","1","213420","https://p.scdn.co/mp3-preview/6f6533c84fbf292243d1fcb5e49d047cb2df1a38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","FR2PY1000020","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:51:54Z"
"spotify:track:734dz1YaFITwawPpM25fSt","Je veux","spotify:artist:1mbgj8ERPs8lWi7t5cYrdy","Zaz","spotify:album:6MuoqipFgorIZEYwGWEFAU","Zaz","spotify:artist:1mbgj8ERPs8lWi7t5cYrdy","Zaz","2010-05-10","https://i.scdn.co/image/ab67616d0000b2733b5969aba116e8248a3e6369","1","2","215933","https://p.scdn.co/mp3-preview/e85c65379feef07f5943541b92c6f412cbeae8be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","FR2PY1000010","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:52:24Z"
"spotify:track:2xZfPZxInlDXDKc6NDts8Z","La foule","spotify:artist:1WPcVNert9hn7mHsPKDn7j","Édith Piaf","spotify:album:7l3ydaHRFTcEGM0D9rlfqS","de l'accordeoniste a milord","spotify:artist:1WPcVNert9hn7mHsPKDn7j","Édith Piaf","1986","https://i.scdn.co/image/ab67616d0000b273956e46e66798e6d0d92e5985","1","10","178840","https://p.scdn.co/mp3-preview/bbc32e240082043593ef4b090126142112a5afc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","FRZ115700070","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:52:45Z"
"spotify:track:4FmiciU3ZmfgABlbCSXcWw","La vie en rose","spotify:artist:1WPcVNert9hn7mHsPKDn7j","Édith Piaf","spotify:album:7l3ydaHRFTcEGM0D9rlfqS","de l'accordeoniste a milord","spotify:artist:1WPcVNert9hn7mHsPKDn7j","Édith Piaf","1986","https://i.scdn.co/image/ab67616d0000b273956e46e66798e6d0d92e5985","1","3","186973","https://p.scdn.co/mp3-preview/07662686690e3139aae114115e19c0607556d2b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","FRZ114700100","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:53:06Z"
"spotify:track:2LD2gT7gwAurzdQDQtILds","Veridis Quo","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","11","345186","https://p.scdn.co/mp3-preview/9ce7b8a64cb0f8a87e6822e78ae825ecd3a9ec71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBDUW0000066","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:54:50Z"
"spotify:track:0oks4FnzhNp5QPTZtoet7c","Giorgio by Moroder","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-20","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","3","544626","https://p.scdn.co/mp3-preview/ffbe7c12252438f212fd67000bcbd8cdc5ba4525?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USQX91300103","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:54:53Z"
"spotify:track:0MyY4WcN7DIfbSmp5yej5z","Da Funk","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:5uRdvUR7xCnHmUW8n64n9y","Homework","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","1997-01-17","https://i.scdn.co/image/ab67616d0000b2738ac778cc7d88779f74d33311","1","4","328680","https://p.scdn.co/mp3-preview/efebf4ba1837d04a588c7636490e72d6e46d1c27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBDUW0600006","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:54:56Z"
"spotify:track:7oaEjLP2dTJLJsITbAxTOz","Touch (feat. Paul Williams)","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:3f626JSVauIhTQgatsFcs4","Daft Punk, Paul Williams","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-20","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","7","498960","https://p.scdn.co/mp3-preview/0763b5cdbf01b2efd1384e255482aff8ba8e8f56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USQX91300107","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:55:02Z"
"spotify:track:1lPjbmk2TylddPKESSIBfm","Désolé (feat. Fatoumata Diawara)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:4G5ZJny3HvX6Il7eHVfnNC","Gorillaz, Fatoumata Diawara","spotify:album:5xbq27ybQPAC8IiLtbHNxN","Song Machine Episode 2","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2020-02-27","https://i.scdn.co/image/ab67616d0000b273779d7d356fdac8229ac2452d","1","2","236569","https://p.scdn.co/mp3-preview/ff622f0cc806d5d6568036b379cce2db0819318e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAYE2000106","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:55:27Z"
"spotify:track:5h5FY6vmtDpgXF91BUexO0","Momentary Bliss (feat. slowthai and Slaves)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP, spotify:artist:3xByNj8XW17oW0wsJhgzYL","Gorillaz, slowthai, SOFT PLAY","spotify:album:5I9K0u8r52jp4Y2bF8mOaz","Song Machine, Season One: Strange Timez (Deluxe)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2020-10-23","https://i.scdn.co/image/ab67616d0000b27305a3c11cb2cb7c60d30316a3","1","11","221386","https://p.scdn.co/mp3-preview/379ae714a1e5cb08194db81589e3a26185962ead?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","GBAYE1901675","spotify:user:6lboy9girdfls44t2jf7tbbif","2021-09-27T17:55:31Z"
