"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1hOSF9oVVwftqAhi8Bueez","Vuonna '85","spotify:artist:6KbCFHgM4basg1TvK3oEzv","Eppu Normaali","spotify:album:3vZxih3ctWA3Jrgovmu2xU","Repullinen Hittejä","spotify:artist:6KbCFHgM4basg1TvK3oEzv","Eppu Normaali","1996","https://i.scdn.co/image/ab67616d0000b2739c73a170e9cdb63bf334ae1e","2","2","289533","https://p.scdn.co/mp3-preview/b1602775d24286119a1c0a34a0ad8df44b741c8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","FIUNP8500403","spotify:user:sebastianelisapfeifer","2020-11-08T22:05:46Z"
"spotify:track:5GqjlBKkZzK4KmIu9znthP","Vulgaris Magistralis - Bonus Track","spotify:artist:0A2YaO4tUFeJVNn5Hvjfxa","Heidevolk","spotify:album:5VFsRUA2edmmUPMCZ53deh","De Strijdlust Is Geboren","spotify:artist:0A2YaO4tUFeJVNn5Hvjfxa","Heidevolk","2008-01-01","https://i.scdn.co/image/ab67616d0000b27350a6140056a987e21a0bddf8","1","12","223360","https://p.scdn.co/mp3-preview/d646778ecd6a06eaee7787fe186d602933f869d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","ATN260824612","spotify:user:sebastianelisapfeifer","2020-11-08T22:05:56Z"
"spotify:track:63Pn2uD2qDzmKsWObd1piz","Tuli Kokko","spotify:artist:521Yl3LUvD7G9dMRO4fpCy","Korpiklaani","spotify:album:6l5vTBWS7OVXcdnY665UPS","Tales Along This Road","spotify:artist:521Yl3LUvD7G9dMRO4fpCy","Korpiklaani","2006-01-01","https://i.scdn.co/image/ab67616d0000b273c5b6f084b2c29dbff1231961","1","4","325600","https://p.scdn.co/mp3-preview/6d6368dc0b5e095029c6197abfea909aeddcb989?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","ATN260618604","spotify:user:sebastianelisapfeifer","2020-11-08T22:06:47Z"
"spotify:track:1SCwVUbxOrqU7NADHm7x7j","Кукушка","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","spotify:album:69ZJ5dzcZJdcgcs8hBLgtu","Чёрный альбом","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","1990-01-01","https://i.scdn.co/image/ab67616d0000b2735ab6fb85fa93ef1a51dfe2f0","1","5","398658","https://p.scdn.co/mp3-preview/6d045b3a74ff7567bf223080dd5a18f84b00f203?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","RUB421401409","spotify:user:sebastianelisapfeifer","2020-11-08T22:07:38Z"
"spotify:track:1qOVM9uo5a44KUrij5bsW5","Апрель","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","spotify:album:6jRDBHMIDlq7IAfkS1nJki","Звезда по имени Солнце","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","1989","https://i.scdn.co/image/ab67616d0000b273a7151d37c074c3a706e8efcc","1","9","281173","","false","0","FR10S1780288","spotify:user:sebastianelisapfeifer","2020-11-08T22:07:43Z"
"spotify:track:3dd2uRlO7fEG5RKcadBYpJ","Hijo de la Luna","spotify:artist:1lVrgymnyAR40c556RIY5i","Stravaganzza","spotify:album:5YpRRBiPxwspla4MglEDSW","The Best Of...","spotify:artist:1lVrgymnyAR40c556RIY5i","Stravaganzza","2010","https://i.scdn.co/image/ab67616d0000b273b514f45792875886dcce99a6","1","4","292813","","false","0","ES5620601682","spotify:user:sebastianelisapfeifer","2020-11-08T22:07:53Z"
"spotify:track:4jNpNhrUPYCSJ3WsDmgB1d","Пачка сигарет","spotify:artist:4dngB44yGo3ErubxhE1bUW, spotify:artist:2jkl2xJVm71azWAgZKyf42","Viktor Tsoi, Kino","spotify:album:2qh8PG3QrOXUjvcuIk15Ei","Виктор Цой и Группа Кино. Полная Дискография","spotify:artist:4dngB44yGo3ErubxhE1bUW, spotify:artist:2jkl2xJVm71azWAgZKyf42","Viktor Tsoi, Kino","2016-04-28","https://i.scdn.co/image/ab67616d0000b2736bf5bca641d03644f0bf09b8","1","56","268000","","false","0","TCACO1604946","spotify:user:sebastianelisapfeifer","2020-11-08T22:08:09Z"
"spotify:local:Julian+W.:42:Wir+bleiben+stumm:184","Wir bleiben stumm","","Julian W.","","42","","","","","0","0","184000","","false","0","","spotify:user:sebastianelisapfeifer","2020-11-08T22:08:14Z"
"spotify:track:25QjyhQVQEKgEr0X5osvLF","Звезда","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","spotify:album:0dAJ7fyyz2KhILFw83qYjK","Последние записи","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","2002-01-01","https://i.scdn.co/image/ab67616d0000b273a058faf6c6df8c75e95b1b0f","1","7","270933","","false","0","RUB421401393","spotify:user:sebastianelisapfeifer","2020-11-08T22:08:25Z"
"spotify:track:5oGQJaBnAo6y5q3YCLxVv2","Кукушка","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","spotify:album:0dAJ7fyyz2KhILFw83qYjK","Последние записи","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","2002-01-01","https://i.scdn.co/image/ab67616d0000b273a058faf6c6df8c75e95b1b0f","1","8","344922","","false","0","RUB421401377","spotify:user:sebastianelisapfeifer","2020-11-08T22:08:30Z"
"spotify:track:7qeqZ6ml20pLjlaRyoS5fb","Нам с тобой","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","spotify:album:0dAJ7fyyz2KhILFw83qYjK","Последние записи","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","2002-01-01","https://i.scdn.co/image/ab67616d0000b273a058faf6c6df8c75e95b1b0f","1","6","311345","","false","0","RUB421401381","spotify:user:sebastianelisapfeifer","2020-11-08T22:08:34Z"
"spotify:track:1WmBU9RlayxcOmOGON9aqO","Neandertal","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","spotify:album:7x9xID7jaslRHibBpXAp4S","100 Jahre EAV","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","2008-04-18","https://i.scdn.co/image/ab67616d0000b2737733f4a485ac9ff7bc0c7f6f","2","15","203506","https://p.scdn.co/mp3-preview/ddab0c0f66213750eb97d93402ddbabc5ba072fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","DEA810500986","spotify:user:sebastianelisapfeifer","2020-11-08T22:08:57Z"
"spotify:track:3wANqVO0hI8k4O2PDUlGWi","Deine Schuld","spotify:artist:0cbL6CYnRqpAxf1evwUVQD","Die Ärzte","spotify:album:34FD6no18r9FoNymPUt7Bb","Bäst Of","spotify:artist:0cbL6CYnRqpAxf1evwUVQD","Die Ärzte","2006-10-06","https://i.scdn.co/image/ab67616d0000b273e2b658d6886e712eb538e588","1","24","217613","","false","0","DEN120303906","spotify:user:sebastianelisapfeifer","2020-11-08T22:09:03Z"
"spotify:track:4PIwFXVe1zBAQkEsbGnFcZ","Sieben Tage lang","spotify:artist:1EoMc1Hck2NByhc2vay5O8","Bots","spotify:album:6Rqv7MLRz69CsdtVTeTC2R","Was sollen wir denken","spotify:artist:1EoMc1Hck2NByhc2vay5O8","Bots","2014-06-06","https://i.scdn.co/image/ab67616d0000b273825df4704e3f79d13d5d9794","1","1","269560","","false","1","DEF811407501","spotify:user:sebastianelisapfeifer","2020-11-08T22:09:07Z"
"spotify:local:Der+wahre+Heino:Deutschland:Deutschland:156","Deutschland","","Der wahre Heino","","Deutschland","","","","","0","0","156000","","false","0","","spotify:user:sebastianelisapfeifer","2020-11-08T22:09:12Z"
"spotify:track:4TCOLUEfUxKcK1XmI3n5Vw","Europa","spotify:artist:2F8GvYuY0lfZNYu45dY6gJ","Die Toten Hosen","spotify:album:1SD6ODpbAOYA94wEOkA2Ke","""Ballast der Republik"" plus Jubiläums-Album ""Die Geister, die wir riefen""","spotify:artist:2F8GvYuY0lfZNYu45dY6gJ","Die Toten Hosen","2012-05-04","https://i.scdn.co/image/ab67616d0000b273c48e81625cf3834bab6a9c39","1","7","169026","https://p.scdn.co/mp3-preview/59655224687aa98ea2289bfcd2d177b6ef032d29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","DEF241230010","spotify:user:sebastianelisapfeifer","2020-11-08T22:09:35Z"
"spotify:track:4P4PHxZQ1FcwQKKnfEPsAZ","Schrei nach Liebe","spotify:artist:0cbL6CYnRqpAxf1evwUVQD","Die Ärzte","spotify:album:45k6PgHs2LwTtoEGhpxUC7","Die Bestie in Menschengestalt","spotify:artist:0cbL6CYnRqpAxf1evwUVQD","Die Ärzte","1993-10-04","https://i.scdn.co/image/ab67616d0000b2739510c262f77afc125df888b8","1","2","252600","https://p.scdn.co/mp3-preview/5a0a82e3823294a575edcb40d8a47ace41c11baf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DEZ650506930","spotify:user:sebastianelisapfeifer","2020-11-08T22:09:40Z"
"spotify:track:74UqK8NsJA2xR2CogevVr5","Partisanen vom Amur","spotify:artist:6tuPwxuo1bWYs5N9z4vDXM","Erich-Weinert-Ensemble","spotify:album:54Aw3vJODQ5jrTAcoOZPjD","Hymnes et marches de la République Démocratique Allemande","spotify:artist:6tuPwxuo1bWYs5N9z4vDXM","Erich-Weinert-Ensemble","1990-01-01","https://i.scdn.co/image/ab67616d0000b273bc41686b57c333d9bf77d5db","1","13","119720","https://p.scdn.co/mp3-preview/044ad5eb54fb225408a86ce3a7617b816ad22b75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","FR43D1552961","spotify:user:sebastianelisapfeifer","2020-11-08T22:09:46Z"
"spotify:track:0Q4lgLJ2A8GnP4aYRl4vK5","Arbeiter von Wien","spotify:artist:6tuPwxuo1bWYs5N9z4vDXM","Erich-Weinert-Ensemble","spotify:album:54Aw3vJODQ5jrTAcoOZPjD","Hymnes et marches de la République Démocratique Allemande","spotify:artist:6tuPwxuo1bWYs5N9z4vDXM","Erich-Weinert-Ensemble","1990-01-01","https://i.scdn.co/image/ab67616d0000b273bc41686b57c333d9bf77d5db","1","16","155520","https://p.scdn.co/mp3-preview/886c76ce5c9470cff0fba5d14d91f9914df01737?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","FR43D1552964","spotify:user:sebastianelisapfeifer","2020-11-08T22:09:51Z"
"spotify:track:58nLWfeodUMXSeUXQW4Zoq","Commandante Che Guevara","spotify:artist:6DnJnXNndN4xnoL1LN2lEx","Wolf Biermann","spotify:album:1Jr65vphcK19Yyiy12Npsq","Es gibt ein Leben vor dem Tod","spotify:artist:6DnJnXNndN4xnoL1LN2lEx","Wolf Biermann","1976-01-01","https://i.scdn.co/image/ab67616d0000b273852afa1da1e60c394ab5e451","1","11","234453","","false","2","DENE27600011","spotify:user:sebastianelisapfeifer","2020-11-08T22:09:56Z"
