"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:6sT9MWlJManry3EQwf4V80","Push It","spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ","Salt-N-Pepa","spotify:album:5QFYPgLGw6DYz8S3TrLM2d","Hot, Cool & Vicious","spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ","Salt-N-Pepa","1986-12-08","https://i.scdn.co/image/ab67616d0000b273a90317b8d96c0b3f5e9c5e3d","1","1","272133","https://p.scdn.co/mp3-preview/f56d6242c6fa9a995407dae416afd1585d8b5193?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USIR20180482","spotify:user:sebastianelisapfeifer","2024-10-06T06:56:30Z"
"spotify:track:21qnJAMtzC6S5SESuqQLEK","Pump Up The Jam","spotify:artist:2Cd98zHVdZeOCisc6Gi2sB","Technotronic","spotify:album:1fqUZTGqbB0o0hIFhCbAg4","Pump Up The Jam","spotify:artist:2Cd98zHVdZeOCisc6Gi2sB","Technotronic","1989-11-28","https://i.scdn.co/image/ab67616d0000b27391f442ef24b8410ec1e68003","1","1","320306","https://p.scdn.co/mp3-preview/82a1c5bc4cbf4aa75fe052a88c800f1096c0bf7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","BED018901375","spotify:user:sebastianelisapfeifer","2024-10-06T06:56:43Z"
"spotify:track:5EYdTPdJD74r9EVZBztqGG","The Bad Touch","spotify:artist:6nDLku5uL3ou60kvCGZorh","Bloodhound Gang","spotify:album:7BuCGZPiQkZpyn0Wj8rxIh","Hooray For Boobies","spotify:artist:6nDLku5uL3ou60kvCGZorh","Bloodhound Gang","1999-10-04","https://i.scdn.co/image/ab67616d0000b273d6d86be2779b5b6b4980feb9","1","10","260506","https://p.scdn.co/mp3-preview/61e0ed385aa272cbd70dc5f1c0b319933ee713db?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USIR19902530","spotify:user:sebastianelisapfeifer","2024-10-06T06:57:22Z"
"spotify:track:5aEqcblO0Z6JloFJXtxyhe","Everytime We Touch","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","spotify:album:5BIDwo7ClpVhC031QNKTuY","Platinum","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","2006","https://i.scdn.co/image/ab67616d0000b27378c11c1af300d7dc95191066","1","1","197124","https://p.scdn.co/mp3-preview/5c620922d3b2422a7143f75d5d143a48ab2910b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","DEZ620500053","spotify:user:sebastianelisapfeifer","2024-10-06T06:57:28Z"
"spotify:track:1xH2jJCrmmwMuWNwWtYUlH","Numb","spotify:artist:4PWjpdBUTvwJ5iO1p8dHqC, spotify:artist:0gQDOj4OisQbTq7FUEziea, spotify:artist:635Ty89ihpkpWMkLQ7dlsp","TECHNO KING, New Beat Order, Aaron Richards","spotify:album:52tFyhLti4XU7MbfBYBMG5","Numb","spotify:artist:0gQDOj4OisQbTq7FUEziea, spotify:artist:4PWjpdBUTvwJ5iO1p8dHqC, spotify:artist:635Ty89ihpkpWMkLQ7dlsp","New Beat Order, TECHNO KING, Aaron Richards","2023-10-12","https://i.scdn.co/image/ab67616d0000b273583b2b4614226b85f3e3376f","1","1","109856","https://p.scdn.co/mp3-preview/b49fa2ef0246ed62ea38aa839d8b2b5372bee1d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","QZWDE2343869","spotify:user:sebastianelisapfeifer","2024-10-06T06:59:37Z"
"spotify:track:5CPjaNM7vvcVm7JOTZ6F8h","Tainted Love - Vinylmoverz Rmx","spotify:artist:1T9O5CMiw3vP0Akt4HHEIG, spotify:artist:6VZbR2SV8uaMKmd0yoESsh","Demande, Lesley Scott","spotify:album:4SI2thgH7UzUcTfYt2K6lW","80's Club Hits Reloaded, Vol.7 (Best of Dance, House, Electro & Techno Remix Collection)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Verschiedene Interpreten","2011","https://i.scdn.co/image/ab67616d0000b273afe0a12000eb04d0245645e8","1","6","219915","https://p.scdn.co/mp3-preview/45fde9dfcecf37675e62e68d00a5a79548c4d340?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","DEBL60763352","spotify:user:sebastianelisapfeifer","2024-10-06T07:00:40Z"
"spotify:track:5J0qep1BP7MmBqtGHb5aYx","Self Control","spotify:artist:0SiRcOpdzIT5ea5SwdEQ37, spotify:artist:7mOEFI30ETW9l7SFMpXoH9","Lonelysoul., Eloise Keeble","spotify:album:6F1klRDzMnTuUigtzkCP0q","Self Control","spotify:artist:0SiRcOpdzIT5ea5SwdEQ37, spotify:artist:7mOEFI30ETW9l7SFMpXoH9","Lonelysoul., Eloise Keeble","2024-09-19","https://i.scdn.co/image/ab67616d0000b273a9ad690a86ffbf7b12f5a88d","1","1","139034","https://p.scdn.co/mp3-preview/77c782cd4979c756bb206ece1e2852863473d6ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GXBDS2401683","spotify:user:sebastianelisapfeifer","2024-10-06T07:03:37Z"
"spotify:track:3azrs2H0AnBhl0KtavxXd2","Caramelldansen","spotify:artist:4wou0b3sXgQT11ftEYxBsr","KUPID","spotify:album:3FLKPrwP88Q5HnxClfCtx5","Caramelldansen","spotify:artist:4wou0b3sXgQT11ftEYxBsr","KUPID","2024-03-07","https://i.scdn.co/image/ab67616d0000b27311fa85577d3ce2b066422de2","1","1","131482","https://p.scdn.co/mp3-preview/eb5a67251e9f1c42c6989764daaaca7db2074bfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GX8KD2453807","spotify:user:sebastianelisapfeifer","2024-10-06T07:04:40Z"
"spotify:track:5qRV14nCz223C3WEPEgH36","Down Under","spotify:artist:6VBSwCRUCT6b3igxW6VfJZ, spotify:artist:3CNPVYQ9QnNxlrEBdHS4hx","Lawstylez, MAUD","spotify:album:22kRcrJeUymyM3Qp95HJGG","Down Under","spotify:artist:6VBSwCRUCT6b3igxW6VfJZ, spotify:artist:3CNPVYQ9QnNxlrEBdHS4hx","Lawstylez, MAUD","2024-07-19","https://i.scdn.co/image/ab67616d0000b273b88023b78bde841b134651eb","1","1","121500","https://p.scdn.co/mp3-preview/8a3b3cda975f87048ef80032fe8105d0e43a4064?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","CH7812412714","spotify:user:sebastianelisapfeifer","2024-10-06T07:06:32Z"
"spotify:track:2AO9KFMWuTBh8BmVSy9AQE","Moonlight Shadow - Techno Version","spotify:artist:4mt26b0pe9EikdjRR72uen","Astech","spotify:album:2VkKoXwYjBZ3m3WmAW9OZS","Moonlight Shadow (Techno Version)","spotify:artist:4mt26b0pe9EikdjRR72uen","Astech","2024-04-04","https://i.scdn.co/image/ab67616d0000b273ef4f3bc8f6c57e5db27c6a11","1","1","146400","https://p.scdn.co/mp3-preview/c9f045da2c125c6830d3912f024b2a064be60824?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GX8LD2425786","spotify:user:sebastianelisapfeifer","2024-10-06T07:07:29Z"
