"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7o57K7TJQaY6F1ZFhkOItC","3-5-0-0","spotify:artist:3b6TinIPahsS8iSCYAeinr, spotify:artist:37pKA6kY6h4rcFUBwrrTDk","Galt MacDermot, Tom Pierson","spotify:album:1llShsXxqoYFxKEX7JkKBj","Hair","1979","1","22","230333","false","33","spotify:user:sebastianelisapfeifer","2017-02-15T09:37:22Z","show tunes","0.519","0.419","9","-11.936","0","0.0408","0.194","0","0.179","0.673","61.327","4"
"spotify:track:5TMXedP61LiUveNFCYyQmc","The Thousandth And Tenth Day Of The Human Totem Pole","spotify:artist:2k8kY9zHUWxuTtwV4UutHw","Captain Beefheart & His Magic Band","spotify:album:5uEVpLw1xGWhYyvZD7Vwme","Ice Cream For Crow","1982-01-01","1","11","343666","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T06:35:18Z","art rock,country rock,dance rock,experimental,experimental rock,folk rock,outsider,post-punk,protopunk,psychedelic rock,roots rock,zolo","0.572","0.283","9","-15.149","1","0.167","0.253","0.0286","0.0977","0.7","142.461","4"
"spotify:track:1J5ZenaZCJLsiEjgoGkoPh","Blue And Lonesome","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:4g9Jfls8z2nbQxj5PiXkiy","Blue & Lonesome","2016-12-02","1","3","187306","false","0","spotify:user:sebastianelisapfeifer","2017-03-17T10:45:58Z","album rock,british invasion,classic rock,rock","0.22","0.831","2","-3.881","0","0.0649","0.718","0.0969","0.355","0.602","55.441","4"
"spotify:track:4vpeKl0vMGdAXpZiQB2Dtd","White Rabbit","spotify:artist:2qFr8w5sWUITRlzZ9kZotF","Jefferson Airplane","spotify:album:6lPb7Eoon6QPbscWbMsk6a","Surrealistic Pillow","1967","1","10","150640","false","71","spotify:user:sebastianelisapfeifer","2017-03-17T10:47:26Z","acid rock,classic rock,folk rock,psychedelic rock,rock,roots rock","0.551","0.293","2","-12.503","1","0.0272","0.486","0.000273","0.0864","0.322","106.798","4"
"spotify:track:1LP4ukbT3JGasxcDpesVtb","Citadel","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:44jYRMyw4XlsW7D6cxGdzk","Their Satanic Majesties Request","1967-12-08","1","2","170713","false","0","spotify:user:sebastianelisapfeifer","2017-03-17T10:48:13Z","album rock,british invasion,classic rock,rock","0.253","0.586","9","-10.291","1","0.0394","0.0653","0.0000673","0.1","0.64","115.397","4"
"spotify:track:1Eolhana7nKHYpcYpdVcT5","Little Wing","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:3uFZf8rykoHo7XMIQVYW6r","Axis: Bold As Love","1967-12-01","1","6","145746","false","72","spotify:user:sebastianelisapfeifer","2017-03-29T13:12:39Z","acid rock,blues rock,classic rock,psychedelic rock,rock","0.515","0.534","6","-8.045","1","0.0768","0.181","0.00278","0.0547","0.426","70.776","4"
"spotify:track:19HjHUjCfDrEYhVSIKG6nK","I'd Love to Change the World - 2004 Remaster","spotify:artist:7nkLRaWHImCvWGHdNGnhVE","Ten Years After","spotify:album:6C2AlxVFIfvLsuWOJB1UKo","A Space in Time (Deluxe Version)","1971-11-11","1","3","224133","false","62","spotify:user:sebastianelisapfeifer","2017-04-11T09:03:32Z","album rock,art rock,blues,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,psychedelic rock,rock,roots rock,symphonic rock","0.384","0.516","9","-12.032","0","0.0345","0.202","0.18","0.114","0.371","118.129","4"
"spotify:track:3l11TnAHwW5nLH3kfJ7BsM","House Of The Rising Son","spotify:artist:0IzJYdxaNLwrC7diSCu0iY","Geordie","spotify:album:0bqMwkLEuFsAreRnpGF6gV","Don't Be Fooled By The Name","1974","1","2","301506","false","0","spotify:user:sebastianelisapfeifer","2017-05-24T16:41:21Z","glam rock","0.351","0.407","9","-14.471","0","0.028","0.000252","0.0949","0.0866","0.32","98.211","3"
"spotify:track:3yI282DoIJyERd0vGukMoB","Fortunate Son","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","spotify:album:4ePaYyKlg5pmQFkLu7TwV7","Willy And The Poor Boys (40th Anniversary Edition)","1969-11-02","1","6","140773","false","2","spotify:user:sebastianelisapfeifer","2017-08-07T07:57:40Z","classic rock,country rock,rock,roots rock,southern rock,swamp rock","0.643","0.669","0","-7.485","1","0.0398","0.208","0.00664","0.151","0.609","132.709","4"
"spotify:track:20US4JIykUvnFpxMXp0lWv","Purple Haze","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:719ELjvRzp0lHiLyAuAGj3","Are You Experienced","1967-05-12","1","14","171666","false","52","spotify:user:sebastianelisapfeifer","2017-08-07T07:57:55Z","acid rock,blues rock,classic rock,psychedelic rock,rock","0.527","0.891","2","-5.209","1","0.0759","0.0068","0.723","0.0618","0.458","108.57","4"
