"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5iynCtpEY7mx4ou54tHBPH","Ganja Smuggling","spotify:artist:6xqlgBccdlxUh5DeJSx2ho","Eek-A-Mouse","spotify:album:2fGzC6ZvAqmpBr8dprAQTT","Wa-Do-Dem","spotify:artist:6xqlgBccdlxUh5DeJSx2ho","Eek-A-Mouse","1981","https://i.scdn.co/image/ab67616d0000b2735070bc308a25796d60bc3a23","1","2","228760","https://p.scdn.co/mp3-preview/699ed5d7573c5896b0ec1083d11c2fdee75adf4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBBZV8202799","spotify:user:sebastianelisapfeifer","2022-02-05T16:36:38Z"
"spotify:track:0mD19MC6H0OzHvEUADHypU","Police In Helicopter","spotify:artist:312pFk2xpEwYWLGPehc4Nu","John Holt","spotify:album:7naj9A5QZbYxYbj9Susywq","Police In Helicopter","spotify:artist:312pFk2xpEwYWLGPehc4Nu","John Holt","1983","https://i.scdn.co/image/ab67616d0000b27340107fefea4bea8968e643cc","1","1","219160","https://p.scdn.co/mp3-preview/5c90a6d9bd4df7514d305528ec0e545502f4a647?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBBZV8301362","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:00Z"
"spotify:track:2kPQbvKYxJV2z5q2wNps7n","Chase The Devil","spotify:artist:45QpZznbXYo3nWy0TIhvgv, spotify:artist:12CNljuN6DW9e5x61FS03b","Max Romeo, The Upsetters","spotify:album:4Bw7hyzk37wBHptu4HglHV","War Ina Babylon","spotify:artist:1oqbNeqtKSD6AytDl6mHh0","Max Romeo & The Upsetters","1976-01-01","https://i.scdn.co/image/ab67616d0000b27316e6c892bf8743fce23ff247","1","3","207666","","false","0","USIR27600022","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:03Z"
"spotify:track:2e5Vm6VvdlTzuNcRSikeU6","Welcome To Jamrock","spotify:artist:3QJzdZJYIAcoET1GcfpNGi","Damian Marley","spotify:album:1jL9mDhM5cMAwJD9brYyW5","Welcome to Jamrock","spotify:artist:3QJzdZJYIAcoET1GcfpNGi","Damian Marley","2005-01-01","https://i.scdn.co/image/ab67616d0000b2732612e01900e8232bedd516b1","1","3","213200","","false","1","USUM70502069","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:05Z"
"spotify:track:2OHQhOiGIYaXqqJVIMpNrF","Kingston Town","spotify:artist:78u1jLVBjPSXQVmHBV43yG","Alborosie","spotify:album:3hhWPRjFBsNYm3v3nbOqQC","Soul Pirate","spotify:artist:78u1jLVBjPSXQVmHBV43yG","Alborosie","2008-01-01","https://i.scdn.co/image/2f6db9fd9319c6d8e30ed034fd7a8f19fc41c65f","1","4","192400","https://p.scdn.co/mp3-preview/8545c1516b2f6e26bb2d6af71712d6bb2deccc68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBEZT0800021","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:19Z"
"spotify:track:2lPfcRMRLffiBTwLA9S8Vc","Night Nurse","spotify:artist:6QHu71f8LLeT8n0GzfbYFc","Gregory Isaacs","spotify:album:18CmOI81Jy9LxlFBVzgJZg","Night Nurse","spotify:artist:6QHu71f8LLeT8n0GzfbYFc","Gregory Isaacs","1982-01-01","https://i.scdn.co/image/ab67616d0000b2733305ee0cf3a4390826bbc074","1","1","245666","","false","0","USIR18290001","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:19Z"
"spotify:track:73lYI49LhfsscO33ohrGN0","Legalize It","spotify:artist:0oea1hwGMfUxZbLxJc1XUN","Peter Tosh","spotify:album:4ESdQfdgBr9yaYraKU0Vle","Legalize It (Legacy Edition)","spotify:artist:0oea1hwGMfUxZbLxJc1XUN","Peter Tosh","1976","https://i.scdn.co/image/ab67616d0000b273995588ad272e39bfc75016a3","1","1","279360","https://p.scdn.co/mp3-preview/d101bda3cd9aab99595f608233c2fb7952247e40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM17600556","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:19Z"
"spotify:track:4abVwdCy5QUcyI3KS2lMJK","Here I Come","spotify:artist:5mMuiFhh7faS7qxnTLRA6u","Barrington Levy","spotify:album:55FfXQVWDbB3tEC7L9lvzA","Reggae Anthology: Sweet Reggae Music (1979-84)","spotify:artist:5mMuiFhh7faS7qxnTLRA6u","Barrington Levy","2012-12-14","https://i.scdn.co/image/ab67616d0000b273d529c2a8138775510d303ff4","2","19","217200","https://p.scdn.co/mp3-preview/174ef23f10e223ee710fa339039b9ac49e7c512a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBBZV8751730","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:19Z"
"spotify:track:1a64u7QtJ9yDwpNyfDrZTj","Come Around","spotify:artist:5Ayl2bJtN5mdCsxZoxs9n1","Collie Buddz","spotify:album:2BGWnHTib774X9f7RPoato","Collie Buddz","spotify:artist:5Ayl2bJtN5mdCsxZoxs9n1","Collie Buddz","2007-07-02","https://i.scdn.co/image/ab67616d0000b27301c8bc370fc628250a4838c0","1","1","221506","https://p.scdn.co/mp3-preview/1219663253621c1efa05089da83464120f2fe474?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM10602373","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:19Z"
"spotify:track:6gOirCUz62z0mFhCJ6P5KC","Jamming","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:3q8y9MBuOdOzwJb8QJfwBG","Exodus (Deluxe Edition)","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1977-01-01","https://i.scdn.co/image/ab67616d0000b273f1118bc0d2969d031eeaf090","1","6","211000","","false","0","USIR27700013","spotify:user:sebastianelisapfeifer","2022-02-05T16:37:19Z"
