"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0Qbc2tyiSclb6vYvOxvebM","Warm Love","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","spotify:album:2F6h5yYUVNcqqeCG55O8Rw","Hard Nose the Highway","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","1973-08","https://i.scdn.co/image/ab67616d0000b273de6de87988f552030de8ac18","1","2","203986","https://p.scdn.co/mp3-preview/03a50b12ee5afb15ee214fe6debf6530bccda629?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USQX91501546","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:04:07Z"
"spotify:track:3xINh6YqkLfucEtjoa4x7D","Days Like This","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","spotify:album:2J2QLpbe1EBRP65w9v8CRL","Days Like This","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","1995-06","https://i.scdn.co/image/ab67616d0000b273716d4cf4ddd514e2acc6844c","1","8","197160","https://p.scdn.co/mp3-preview/07229e84269a35b3523074420d5ff48949fd21a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USQX91501515","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:04:23Z"
"spotify:track:4w4Shi3xjbZBDGuhLw5LsQ","Bright Side of the Road","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","spotify:album:11q2kAICayamyzbVlZvE90","Into the Music","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","1979-08","https://i.scdn.co/image/ab67616d0000b273566ace033180c8e6a9cefcee","1","1","226760","https://p.scdn.co/mp3-preview/d112978835ab03d84257a7c7500702fc06cf1f84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USQX91501249","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:07:46Z"
"spotify:track:2jWbLwnhcKSp78KCpV8HNG","Caledonia Swing","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","spotify:album:40hRF2ZOWSUxCu2iY5pEYL","Keep Me Singing","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","2016-09-30","https://i.scdn.co/image/ab67616d0000b273eedf9a1a2ca1f2680e3dc088","1","13","172360","https://p.scdn.co/mp3-preview/0d2566f5e4418dc3cc79f24753446b0338fe3e83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GB2DY1600059","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:08:07Z"
"spotify:track:0IedgQjjJ8Ad4B3UDQ5Lyn","Fragments of Time (feat. Todd Edwards)","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:6MFopqejpmTUUZlcRmGzgg","Daft Punk, Todd Edwards","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-20","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","11","279773","https://p.scdn.co/mp3-preview/f9df34ef6aed7b14d7c534a5a73f524a0cf15dc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USQX91300111","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:08:17Z"
"spotify:track:5i27RX0DPRJBLOiFrhnrol","Real Love","spotify:artist:6b8vSsnQwT73gACLGMs0qn","Ruby Murray","spotify:album:4xVzLBLJcAn5gwFeeFsk9c","Anthology","spotify:artist:6b8vSsnQwT73gACLGMs0qn","Ruby Murray","2005-03-21","https://i.scdn.co/image/ab67616d0000b2738ab73b286b072a80deae34cb","2","18","127173","https://p.scdn.co/mp3-preview/968bea06d9262135e1f5560f3ddcb9536f207b3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","GBAYE6100407","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:08:41Z"
"spotify:track:40XXjm2pU6LGZkLq5VmkaQ","Everlasting Love","spotify:artist:7aXDGr3cUBmH2Kx1yBC7Ux","Love Affair","spotify:album:2BX02XIupm6Sw7cdaT7gVX","The Everlasting Love Affair","spotify:artist:7aXDGr3cUBmH2Kx1yBC7Ux","Love Affair","1968-03-04","https://i.scdn.co/image/ab67616d0000b273d4218ae9ecae02a4f8fbd9d0","1","1","182666","https://p.scdn.co/mp3-preview/5f86f0b5bfe85b355f740bc73cad3e889e4f9c89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBBBN6700001","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:09:17Z"
"spotify:track:3nsUVlntPIksDvhHdZZhiu","Black Dog - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:4wExFfncaUIqSgoxnqa3Eh","Mothership (Remastered)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","2007","https://i.scdn.co/image/ab67616d0000b27322f1b6c28ce5735646b2e569","1","11","295506","https://p.scdn.co/mp3-preview/b0f4ad02e3a33aff4fda21d218c7c75fe2030272?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USRH11505142","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:09:32Z"
"spotify:track:78lgmZwycJ3nzsdgmPPGNx","Immigrant Song - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:6P5QHz4XtxOmS5EuiGIPut","Led Zeppelin III (Remaster)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1970","https://i.scdn.co/image/ab67616d0000b27390a50cfe99a4c19ff3cbfbdb","1","1","146250","https://p.scdn.co/mp3-preview/f50f3416ea0807503e172ba87a92d8047d4f95da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT21300934","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:10:52Z"
"spotify:track:0slsrhWlw0WrrRe1KCVboI","And the Healing Has Begun","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","spotify:album:11q2kAICayamyzbVlZvE90","Into the Music","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","1979-08","https://i.scdn.co/image/ab67616d0000b273566ace033180c8e6a9cefcee","1","8","482133","https://p.scdn.co/mp3-preview/59f159a98d195661aff75e8e5506128451dab270?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USQX91501256","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-27T12:11:37Z"
"spotify:track:4ItljeeAXtHsnsnnQojaO2","D'yer Mak'er - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:7gS8ozSkvPW3VBPLnXOZ7S","Houses of the Holy (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1973-03-28","https://i.scdn.co/image/ab67616d0000b2731816adce1d49e35d3ce9a1d1","1","6","262748","https://p.scdn.co/mp3-preview/700f486c6cf236b102120c8e55472748c1dc7b7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAT21300895","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-30T09:17:37Z"
"spotify:track:7jGzYUZ2Bgg8BDfYlQRfn8","Wild Thing","spotify:artist:57xdnSVt4ahJCIXYLieQ25","The Troggs","spotify:album:1myVNI7Ucy8g9HudbJ8Vu2","From Nowhere","spotify:artist:57xdnSVt4ahJCIXYLieQ25","The Troggs","1966-07-25","https://i.scdn.co/image/ab67616d0000b27327b24620f0b3b592472552f5","1","1","155333","https://p.scdn.co/mp3-preview/59190866c2052c3889be2d8414a11c59c55af5ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBF086600001","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-05-31T11:15:29Z"
"spotify:track:1Q5kgpp4pmyGqPwNBzkSrw","Roadhouse Blues","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:6AFLOkpJjFF652jevcSOZX","Morrison Hotel","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","1970-02-09","https://i.scdn.co/image/ab67616d0000b273f12a8a7e0b2cbe16d2bef4dc","1","1","243826","https://p.scdn.co/mp3-preview/32d2b47751f9641e7d0a0bf1cfefada6be904c3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USEE19900375","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-06-01T07:20:41Z"
"spotify:track:0UAJH0k4k3slcE83a9UGCe","Lola","spotify:artist:1SQRv42e4PjEYfPhS0Tk9E","The Kinks","spotify:album:4jaLfcNpIrOgcPyXuuiHTi","Lola Versus Powerman and the Moneygoround, Pt. One","spotify:artist:1SQRv42e4PjEYfPhS0Tk9E","The Kinks","1970-11-27","https://i.scdn.co/image/ab67616d0000b27322874c7fad7dee046bd69594","1","5","241040","","false","6","GBAJE0701939","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-06-01T07:20:51Z"
"spotify:track:7bNFkCSO1ofu3uzr6voY7T","Just Got Paid","spotify:artist:2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","spotify:album:4M9bA8YsjIlZOg2wD0BmsM","Rio Grande Mud","spotify:artist:2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","1972-04-04","https://i.scdn.co/image/ab67616d0000b273f3513bf4831af1afaf36e493","1","2","267480","https://p.scdn.co/mp3-preview/24deff464acf61f790805b026abb2a8a5e49919a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USWB11301051","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-06-01T08:57:26Z"
