"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:2Iv4HSoMX2fDeXFcOJWyWX","Until It Sleeps","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:6ndH0UlQbyCOVqByMXXhdV","Load","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1996-01-01","https://i.scdn.co/image/ab67616d0000b273d691ec833eb067d9a9e4ded7","1","4","267933","https://p.scdn.co/mp3-preview/11c2a9795fdc309865c9eae8b0dd5ac38172ae73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBAMC9600001","spotify:user:sebastianelisapfeifer","2023-10-30T07:15:59Z"
"spotify:track:19vHgVS1aukRiQWhTqfKnE","DArkSide","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:3E21iYJYv6lSkBkHBv3SKq","DArkSide","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2023-10-18","https://i.scdn.co/image/ab67616d0000b27301aa13aa3a7c9f2df2db0d0f","1","1","164790","https://p.scdn.co/mp3-preview/493242872ff1910dce37989b5a85ca558b277176?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","GBARL2301374","spotify:user:sebastianelisapfeifer","2023-10-30T07:16:07Z"
"spotify:track:6rUp7v3l8yC4TKxAAR5Bmx","I Hate Everything About You","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","spotify:album:38pfSOHvxHqDWwDnjZ25U5","Three Days Grace (Expanded Edition)","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","2003-07-22","https://i.scdn.co/image/ab67616d0000b273447bdb4eab501ce0a15811c0","1","3","231480","https://p.scdn.co/mp3-preview/a6c3822f2022bda6d8067f0e9b62a55368130009?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USJI10300075","spotify:user:sebastianelisapfeifer","2023-10-30T07:18:08Z"
"spotify:track:61mWefnWQOLf90gepjOCb3","Duality","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:4ZDBQSIDIZRUBOG2OHcN3T","Vol. 3: The Subliminal Verses","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2004","https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a","1","4","252613","https://p.scdn.co/mp3-preview/c022f099ad0fce8686216c51a38325207cfd37ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","NLA320420785","spotify:user:sebastianelisapfeifer","2023-10-30T07:37:24Z"
"spotify:track:25GC50HslaaruyrKjdu0lP","Your Betrayal","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","spotify:album:3q3DB4fElKDIDE2bXTLFlb","Fever","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","2010-04-20","https://i.scdn.co/image/ab67616d0000b273f467961e3089fd694c893584","1","1","291426","https://p.scdn.co/mp3-preview/713e0e50ce237a84d96d6446860b469da09596ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USJI11000030","spotify:user:sebastianelisapfeifer","2023-10-30T07:37:37Z"
"spotify:track:3K4HG9evC7dg3N0R9cYqk4","One Step Closer","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:6hPkbAV3ZXpGZBGUvL6jVM","Hybrid Theory (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2000-10-24","https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a","1","2","157333","https://p.scdn.co/mp3-preview/93915a6ffff1e702717623fe052e781e68bde91b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USWB10002399","spotify:user:sebastianelisapfeifer","2023-10-30T07:37:42Z"
"spotify:track:57BrRMwf9LrcmuOsyGilwr","Crawling","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:6hPkbAV3ZXpGZBGUvL6jVM","Hybrid Theory (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2000-10-24","https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a","1","5","208960","https://p.scdn.co/mp3-preview/757e39055aca3abc9157fe579869d63baca5a54e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USWB10002405","spotify:user:sebastianelisapfeifer","2023-10-30T07:38:54Z"
"spotify:track:1yYE8EyuIV0rrvQ1bA2Fyf","Happy Song","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:7FqHuAvmREiIwVXVpZ9ooP","That's The Spirit","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2015-09-11","https://i.scdn.co/image/ab67616d0000b273413697269620e16f4466f543","1","2","239386","https://p.scdn.co/mp3-preview/fe40c5e8c8be64ee2b7a607ef6f7a024bb025dc1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","GBARL1500769","spotify:user:sebastianelisapfeifer","2023-10-30T07:39:14Z"
"spotify:track:14EORgkbXqIx5K4Haucmnb","Absolute Zero","spotify:artist:49qiE8dj4JuNdpYGRPdKbF","Stone Sour","spotify:album:2nCHgPLLyIgxFKUBYuMKPn","House of Gold & Bones, Part 1","spotify:artist:49qiE8dj4JuNdpYGRPdKbF","Stone Sour","2012-10-17","https://i.scdn.co/image/ab67616d0000b2738328645e58684d8770a8475f","1","2","229840","https://p.scdn.co/mp3-preview/23ce031ab9f7b3f742cb896c66b16efd716cfa61?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","NLA321292440","spotify:user:sebastianelisapfeifer","2023-10-30T07:39:22Z"
"spotify:track:2DlHlPMa4M17kufBvI2lEN","Chop Suey!","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:6jWde94ln40epKIQCd8XUh","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-09-04","https://i.scdn.co/image/ab67616d0000b27307bc7d2a745636c356b4d0aa","1","6","210240","https://p.scdn.co/mp3-preview/00ee92420f3919ac0014fdb108b747abd704f2fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USSM10107256","spotify:user:sebastianelisapfeifer","2023-10-30T07:39:32Z"
"spotify:track:5rAxhWcgFng3s570sGO2F8","A Place for My Head","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:6hPkbAV3ZXpGZBGUvL6jVM","Hybrid Theory (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2000-10-24","https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a","1","9","184640","https://p.scdn.co/mp3-preview/b892bb6e9dcacb0079f799e90405c30ef16b244d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USWB10001203","spotify:user:sebastianelisapfeifer","2023-10-30T07:39:36Z"
"spotify:track:5eALoO9RRACvoxvLKF9zt4","Riot","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","spotify:album:4ohPMPeZukCChC6xNJpeYx","One-X","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","2006-06-13","https://i.scdn.co/image/ab67616d0000b273fa4c18fdbd1bf1a39b7b794f","1","6","207586","https://p.scdn.co/mp3-preview/5889906561793961ce71eb85ac5579bd975b1573?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USJI10600162","spotify:user:sebastianelisapfeifer","2023-10-30T07:39:40Z"
"spotify:track:68osIGtVjM7QWVe6pazLHj","Shadow Moses","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:6IYPmM3xsOPL2XPSvf1ZAz","Sempiternal (Expanded Edition)","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2013-04-01","https://i.scdn.co/image/ab67616d0000b27360cf7c8dd93815ccd6cb4830","1","6","243320","https://p.scdn.co/mp3-preview/e0bceabcef78c690e2b6268e6caf4019e408c4bc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","GBARL1202153","spotify:user:sebastianelisapfeifer","2023-10-30T07:40:16Z"
"spotify:track:5ynxx6zC4dgzsMHLYQ04Dc","Remedy","spotify:artist:6B5c4sch27tWHAGdarpPaW","Seether","spotify:album:1C5xrwfzgDM0hz7Kb035V3","Karma and Effect","spotify:artist:6B5c4sch27tWHAGdarpPaW","Seether","2005-01-01","https://i.scdn.co/image/ab67616d0000b273c66ad69a4c9fec63e6f49a3a","1","2","207213","https://p.scdn.co/mp3-preview/075fa454f9c2b434937531b6a249daf85c471ca7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USWU30500016","spotify:user:sebastianelisapfeifer","2023-10-30T07:40:20Z"
"spotify:track:6xtQ23d8GEXgcxyUKPtwc5","Runaway","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:6hPkbAV3ZXpGZBGUvL6jVM","Hybrid Theory (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2000-10-24","https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a","1","6","183973","https://p.scdn.co/mp3-preview/f46c6f8ff5980ae29cfcbb252fcf599daf1b9870?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USWB10002406","spotify:user:sebastianelisapfeifer","2023-10-30T07:40:51Z"
"spotify:track:0M3adYbGtyRHACP86dey1H","Throne","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:7FqHuAvmREiIwVXVpZ9ooP","That's The Spirit","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2015-09-11","https://i.scdn.co/image/ab67616d0000b273413697269620e16f4466f543","1","3","191520","https://p.scdn.co/mp3-preview/b2da695e6b81068ff4a70c1416f4bd0c45e8d894?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBARL1500770","spotify:user:sebastianelisapfeifer","2023-10-30T07:41:01Z"
"spotify:track:0INUE1K7cEiE8VH63Rv5RJ","Happy?","spotify:artist:2Pfv2w8a20xzC7Dr7QXRqM","Mudvayne","spotify:album:0dCRu5tVhx9fvbVZSxfjfP","Lost and Found","spotify:artist:2Pfv2w8a20xzC7Dr7QXRqM","Mudvayne","2005","https://i.scdn.co/image/ab67616d0000b273d23c71c684a6e4d669e8deff","1","3","216426","https://p.scdn.co/mp3-preview/902dacc92715211e588270b1f4e62fd3681e218e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USSM10500054","spotify:user:sebastianelisapfeifer","2023-10-30T13:36:33Z"
"spotify:track:7eRG7KNDIgjIk3nvykmhOT","Dead Memories","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:2ISXjEm0D4chvU2IDNvUqk","All Hope Is Gone (10th Anniversary)","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2008-08-20","https://i.scdn.co/image/ab67616d0000b273e7fbc0883149094912559f2c","1","5","268586","https://p.scdn.co/mp3-preview/9f23dfc386968cb0ff175e39e1eb801b07c4704f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","NLA320886996","spotify:user:sebastianelisapfeifer","2023-10-30T13:36:45Z"
"spotify:track:5eFxwmqKrHpSQDOEIFYlgY","Animal I Have Become","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","spotify:album:4ohPMPeZukCChC6xNJpeYx","One-X","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","2006-06-13","https://i.scdn.co/image/ab67616d0000b273fa4c18fdbd1bf1a39b7b794f","1","3","231400","https://p.scdn.co/mp3-preview/c973eb4df46a3fb0f780964d2be3861e3b84eeff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USJI10600117","spotify:user:sebastianelisapfeifer","2023-10-30T13:36:53Z"
"spotify:track:6zKF4293k44ItKWJJgrhXv","My Curse","spotify:artist:37394IP6uhnjIpsawpMu4l","Killswitch Engage","spotify:album:6iJEtgHTEbVlSS5isIS71z","As Daylight Dies (Special Edition)","spotify:artist:37394IP6uhnjIpsawpMu4l","Killswitch Engage","2007-02-06","https://i.scdn.co/image/ab67616d0000b273cc5bb1a3f809896baf67dba4","1","5","244773","https://p.scdn.co/mp3-preview/a723deb644338717f2180129e45e3382c1131676?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","NLA320682675","spotify:user:sebastianelisapfeifer","2023-10-30T13:37:22Z"
"spotify:track:3fjmSxt0PskST13CSdBUFx","Somewhere I Belong","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-25","https://i.scdn.co/image/ab67616d0000b2738b5b6fa1326d996181e71dd7","1","3","213933","https://p.scdn.co/mp3-preview/e4cec97c55fab6b6360901c1da2525e08a029b03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USWB10300376","spotify:user:sebastianelisapfeifer","2023-10-30T13:38:18Z"
"spotify:track:0snQkGI5qnAmohLE7jTsTn","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:6jWde94ln40epKIQCd8XUh","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-09-04","https://i.scdn.co/image/ab67616d0000b27307bc7d2a745636c356b4d0aa","1","12","218933","https://p.scdn.co/mp3-preview/7a1ac1f1f9af931e9c735aa1474352042981b5a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USSM10107262","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:10Z"
"spotify:track:6OMO6WdRhSfjMPAiPT94wH","Painkiller","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","spotify:album:0YkHsU3Mblh7jvNngbV20W","Human","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","2015-03-30","https://i.scdn.co/image/ab67616d0000b27305ef30ca2c4f8909c5f36e82","1","2","179160","https://p.scdn.co/mp3-preview/0c24c3201e30ed4e8269a554a6afde76954b0800?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USRC11400506","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:17Z"
"spotify:track:0SnvI0twJ1Mnh0rJlBRrf0","Voices","spotify:artist:6MwPCCR936cYfM1dLsGVnl","Motionless In White","spotify:album:5ucBd1GYFRg0uVhP4a4AY6","Graveyard Shift","spotify:artist:6MwPCCR936cYfM1dLsGVnl","Motionless In White","2017-05-05","https://i.scdn.co/image/ab67616d0000b27320bfa6114be3fcada3b5b3e3","1","8","224000","https://p.scdn.co/mp3-preview/2248362d453a8d3277239eb108570a618e88c5a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","NLA321700013","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:23Z"
"spotify:track:0gchQwxmBWj5no8NJ8b2yH","Sleepwalking","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:6IYPmM3xsOPL2XPSvf1ZAz","Sempiternal (Expanded Edition)","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2013-04-01","https://i.scdn.co/image/ab67616d0000b27360cf7c8dd93815ccd6cb4830","1","4","230093","https://p.scdn.co/mp3-preview/f0f45ee8366e3aa2484c7019eb7ed77562a7bc02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBARL1202418","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:34Z"
"spotify:track:16gpk3oHK8Ela7QbRNGjJd","Hypnotize","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:1UeOoLhpWzpuM5cWQsbCXg","Hypnotize","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2005-11-18","https://i.scdn.co/image/ab67616d0000b273a2982eadad9b21912ed6c2e8","1","4","189440","https://p.scdn.co/mp3-preview/6277e28d03d6dcf155c8de82733a23fcbd9fcd70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM10505330","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:40Z"
"spotify:track:0fX9KPa0i9RGDI59gI90i9","Vermilion","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:4ZDBQSIDIZRUBOG2OHcN3T","Vol. 3: The Subliminal Verses","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2004","https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a","1","8","316666","https://p.scdn.co/mp3-preview/0c568951b8da602790f4425c8d2a08b5a85978ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","NLA320420821","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:48Z"
"spotify:track:697M5JB8FDIyRXEXgl1pBZ","From the Inside","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-25","https://i.scdn.co/image/ab67616d0000b2738b5b6fa1326d996181e71dd7","1","10","175506","https://p.scdn.co/mp3-preview/0bc0c425210ac22919007076cff89b0d0ef01839?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB10300471","spotify:user:sebastianelisapfeifer","2023-10-30T13:40:12Z"
"spotify:track:5wBLDkxVvclanSitx5jq8e","Undead","spotify:artist:0CEFCo8288kQU7mJi25s6E","Hollywood Undead","spotify:album:2UYxjXHKm1JDT6JA7OSeR6","Swan Songs","spotify:artist:0CEFCo8288kQU7mJi25s6E","Hollywood Undead","2008-09-02","https://i.scdn.co/image/ab67616d0000b273e3a40a64f0473c111cf42b06","1","1","265053","https://p.scdn.co/mp3-preview/59ac0ee9af5c4b2629cd659f31dccd4b195080e1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USUM70826489","spotify:user:sebastianelisapfeifer","2023-10-30T13:40:31Z"
