"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7GK2KVYH8FrTC9zehmjVMd","Ring My Bell","spotify:artist:3Dd6jD1AApgtNoU6SJWR7P","Anita Ward","spotify:album:5G7Hry7SFLrdsvPu12EUyV","Ring My Bell","spotify:artist:3Dd6jD1AApgtNoU6SJWR7P","Anita Ward","2005-09-26","https://i.scdn.co/image/ab67616d0000b2733b0e0d19618f2dec4531f368","1","1","491933","https://p.scdn.co/mp3-preview/ac32b883c5e6863c7de4acbec373ba0e2d5a61b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSZ10503009","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-30T12:20:38Z"
"spotify:track:4zLSkwZaiMfzzapPCbdG90","Gimme! Gimme! Gimme!","spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","GAMPER & DADONI","spotify:album:5ZfC5XQFZmReHXEDuxuU0g","Gimme! Gimme! Gimme!","spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","GAMPER & DADONI","2019-11-29","https://i.scdn.co/image/ab67616d0000b273bfc3694c339210381f7119fb","1","1","187068","","false","48","NLQ8X1700062","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-30T12:21:09Z"
"spotify:track:2LScqpywMqGcnum6nNaxXX","Yes Sir, I Can Boogie","spotify:artist:4dn4KQgTE4P3jrwa3iIVzQ","Baccara","spotify:album:5e6VPOPLw5cSXsVMvQEioq","The Collection & Tracklisting","spotify:artist:4dn4KQgTE4P3jrwa3iIVzQ","Baccara","1998","https://i.scdn.co/image/ab67616d0000b273f9742033ffb15f5413898ef9","1","6","273866","https://p.scdn.co/mp3-preview/4f895156612d8f1a8ccfadef1ef1bb47c67306a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","DEC760000065","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-30T12:21:19Z"
"spotify:track:2HhBmnL8kVYaevaaCsnMVB","Heart Of Glass - Remix","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","spotify:album:6raionWfBxaJphE3mc8Y4h","Parallel Lines: Deluxe Collector's Edition","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","1978-09-01","https://i.scdn.co/image/ab67616d0000b2730647b071b7be0a607f87a1cd","1","13","249733","https://p.scdn.co/mp3-preview/363b7dfedf51ab98475b059d9c1502e3f73981fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USCH38900007","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-30T12:21:30Z"
"spotify:track:3WMbD1OyfKuwWDWMNbPQ4g","Daddy Cool","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","spotify:album:1KQUrny9y5zGpktF6hAGd4","Take The Heat Off Me","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","1976","https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691","1","1","208600","https://p.scdn.co/mp3-preview/172875355ed7882fecddbf0d2820f5ae1860ae12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","DEC737600002","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:23:29Z"
"spotify:track:2BmyF0z7j1KMtBCPrP120c","Yes, Sir I Can Boogie","spotify:artist:4dn4KQgTE4P3jrwa3iIVzQ","Baccara","spotify:album:0PJL7tRKWqRT3iLq5a44qX","Disco Hits 70","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-05-04","https://i.scdn.co/image/ab67616d0000b273a1047ffb110a1f5dd91c7abf","1","5","289452","https://p.scdn.co/mp3-preview/495c67f96c2b580a3d88e9416f50cce877113959?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","DEA370504226","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:24:10Z"
"spotify:track:2zMJN9JvDlvGP4jB03l1Bz","Hot Stuff","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","spotify:album:58GjBhQvLHwfQFJtdP9Oxg","Bad Girls","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","1979-04-25","https://i.scdn.co/image/ab67616d0000b27331f6567831ff929fdea02074","1","1","314760","https://p.scdn.co/mp3-preview/41642200a542970b8e02e72e3836d542234bd11d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USPR37907202","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:24:35Z"
"spotify:track:7s3FSodLpnKMzeMj17G5d0","That's the Way (I Like It)","spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo","KC & The Sunshine Band","spotify:album:770HywB2djZP5QEel6as2l","The TK Years","spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo","KC & The Sunshine Band","2009-03-09","https://i.scdn.co/image/ab67616d0000b273ceed1ca675cd1821644a3bf4","1","11","306146","https://p.scdn.co/mp3-preview/b4adfccf70c87ab79c707ce15f577f5bb433b127?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBAYE7500059","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:24:42Z"
"spotify:track:0aAR5HogGoT68EWFbyRFqx","What A Feeling","spotify:artist:3oZa8Xs6IjlIUGLAhVyK4G","Irene Cara","spotify:album:7C65CLdoGCQZ739kfYVcwY","What A Feeling","spotify:artist:3oZa8Xs6IjlIUGLAhVyK4G","Irene Cara","2007-01-01","https://i.scdn.co/image/ab67616d0000b273dc77e9fda68572f218233a87","1","1","244533","https://p.scdn.co/mp3-preview/cc86855a68115c1d46feef3055cc7da07c67e00f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USA560619873","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:25:06Z"
"spotify:track:7rIovIsXE6kMn629b7kDig","I Will Survive","spotify:artist:6V6WCgi7waF55bJmylC4H5","Gloria Gaynor","spotify:album:1F0umQ1PItuGiP8uJDdFoX","Love Tracks","spotify:artist:6V6WCgi7waF55bJmylC4H5","Gloria Gaynor","1978-11-27","https://i.scdn.co/image/ab67616d0000b2732a1049b6d0d2b4c3c0abe7a8","1","5","296106","https://p.scdn.co/mp3-preview/cb9e21d00bf030dd25be6018608d926318d9e024?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USUR10200634","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:25:30Z"
"spotify:track:2TxCwUlqaOH3TIyJqGgR91","Mamma Mia","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1kM6xcSYO5ASJaWgygznL7","Abba","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1975","https://i.scdn.co/image/ab67616d0000b27392d0747a634fcc351c6ac3c2","1","1","213266","https://p.scdn.co/mp3-preview/f38945e67e32181ddfc1fa7afe2165d7bf100f0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","SEAYD7501010","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:25:34Z"
"spotify:track:4no2qCaEGeaYSNIj8pDcMf","Walking On Sunshine (25th Anniversary) - 2010 Remaster","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","spotify:album:3OkQGcKlvAW1eTBcnpwZBI","Walking on Sunshine","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","2010-05-24","https://i.scdn.co/image/ab67616d0000b273a8fb517cc3146cc77d265fe4","1","1","223866","https://p.scdn.co/mp3-preview/71a50eccb0eff7a25eaa21cd900bc88ab058a16f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBDNM1010053","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:25:48Z"
"spotify:track:5ubvP9oKmxLUVq506fgLhk","Stayin Alive","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:4vAhQeeWkSjVn0p5GAaLBx","How Can You Mend A Broken Heart","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","2020-12-11","https://i.scdn.co/image/ab67616d0000b273bdcea025a483b9642f17a9f8","1","1","285373","https://p.scdn.co/mp3-preview/f7a8a8c787b2a8ba31e78c42fa791663c4af396d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRH10721057","spotify:user:6lboy9girdfls44t2jf7tbbif","2022-01-31T18:25:58Z"
"spotify:track:4mjFMScEvHeM72791mXRCW","In the Navy - Original Version 1979","spotify:artist:0dCKce6tJJdHvlWnDMwzPW","Village People","spotify:album:3iF4amlNW1yd9DoZ9WOD1i","Go West In the Navy","spotify:artist:0dCKce6tJJdHvlWnDMwzPW","Village People","1979","https://i.scdn.co/image/ab67616d0000b273e387a0b68cda521a1cc7a743","1","1","339946","https://p.scdn.co/mp3-preview/6fbd8d0a2fd2c7aa942cbe19f4bcce0b81bbb14a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FR6V80878840","spotify:user:sebastianelisapfeifer","2022-02-01T06:31:44Z"
"spotify:track:54OR1VDpfkBuOY5zZjhZAY","YMCA - Original Version 1978","spotify:artist:0dCKce6tJJdHvlWnDMwzPW","Village People","spotify:album:3I3YSq7ArvlwK3l49pq4oE","YMCA","spotify:artist:0dCKce6tJJdHvlWnDMwzPW","Village People","1978-01-01","https://i.scdn.co/image/ab67616d0000b273dbf223dbb6abdffa642eb287","1","1","286800","https://p.scdn.co/mp3-preview/ae25bf3bc2adc02ee234c32b64f900c1b48f2e03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","FR6V80878846","spotify:user:sebastianelisapfeifer","2022-02-01T06:33:10Z"
"spotify:track:4msYO7EOWx0tgy47uzlvCJ","Funkytown - Single Version","spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ","Lipps Inc.","spotify:album:1DN4D0OMb6aCx6vuo5uhIG","Best Of Disco","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-10-06","https://i.scdn.co/image/ab67616d0000b27397057d2f936a42d30b0e02b5","2","10","236733","","true","0","USPR37902457","spotify:user:sebastianelisapfeifer","2022-02-01T06:33:23Z"
"spotify:track:1B75hgRqe7A4fwee3g3Wmu","U Can't Touch This","spotify:artist:2rblp9fJo16ZPTcKDtlmKW","MC Hammer","spotify:album:4r1WecJyt5FOhglysp9zhN","Please Hammer Don't Hurt 'Em","spotify:artist:2rblp9fJo16ZPTcKDtlmKW","MC Hammer","1990-02-20","https://i.scdn.co/image/ab67616d0000b273f5e5babccf665ef8c912b190","1","2","257360","https://p.scdn.co/mp3-preview/7abefa3ca8c174f4d20b563c0ff8461711349539?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USCA29000294","spotify:user:sebastianelisapfeifer","2022-02-01T06:33:36Z"
"spotify:track:0BB9eUBBaaX6GALSYNcEp7","You Spin Me Round (Like a Record)","spotify:artist:5WWSL6rElJeUk3Uc1S2RyD","Dead Or Alive","spotify:album:0HEKWtu7St3tKgZDKZsX90","Youthquake","spotify:artist:5WWSL6rElJeUk3Uc1S2RyD","Dead Or Alive","1985-09-05","https://i.scdn.co/image/ab67616d0000b2738c286206162b2a11797185a6","1","1","196800","","false","0","GBBBM9999987","spotify:user:sebastianelisapfeifer","2022-02-01T06:33:40Z"
"spotify:track:6F0Ww4QtV6EJM0OOKn6XKc","Ba-Ba Banküberfall - Reggaeton Version","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k, spotify:artist:5MOPYIShiNhw4t9176Lll8","EAV (Erste Allgemeine Verunsicherung), Jerry","spotify:album:7j1XiF5OYBxAx6Qib6dVz8","100 Jahre EAV...ihr habt es so gewollt!","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","2006-09-29","https://i.scdn.co/image/ab67616d0000b2737cf455882c7e0a03c99da9c2","2","20","192800","https://p.scdn.co/mp3-preview/1e9d5b88257ca1d7e31351110bf14e0d8d3ce831?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","DEA810601534","spotify:user:sebastianelisapfeifer","2022-02-01T06:35:28Z"
"spotify:track:7MwwPyZJ7UKFROj2oVnH6R","Caramelldansen","spotify:artist:73r19TWxqEnnFf6O1u1e92","Caramella Girls","spotify:album:5zvb76rGpvP8oDE2n3tytx","Supergott (Speedy Mixes)","spotify:artist:73r19TWxqEnnFf6O1u1e92","Caramella Girls","2008-01-05","https://i.scdn.co/image/ab67616d0000b27339a6368dd1efeaea760d1d46","1","1","175333","https://p.scdn.co/mp3-preview/7c96871f47b80b3ce1ccd54bfbb52371a9d672e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","SERJR0805021","spotify:user:sebastianelisapfeifer","2022-02-01T15:06:20Z"
"spotify:track:6RVevoPzbGygqvm6LxHAuf","Hot Stuff","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","spotify:album:2ldxRwrqpPb7M8tZsGoqMS","The Dance Collection","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","1987-01-01","https://i.scdn.co/image/ab67616d0000b27318b865c0ac2073df5c17cf3b","1","5","400440","","false","0","USPR37900068","spotify:user:sebastianelisapfeifer","2022-03-22T15:41:13Z"
"spotify:track:21qnJAMtzC6S5SESuqQLEK","Pump Up The Jam","spotify:artist:2Cd98zHVdZeOCisc6Gi2sB","Technotronic","spotify:album:1fqUZTGqbB0o0hIFhCbAg4","Pump Up The Jam","spotify:artist:2Cd98zHVdZeOCisc6Gi2sB","Technotronic","1989-11-28","https://i.scdn.co/image/ab67616d0000b27391f442ef24b8410ec1e68003","1","1","320306","https://p.scdn.co/mp3-preview/7975f4abfca721eaa1642c20441481f71f87e6b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","BED018901375","spotify:user:sebastianelisapfeifer","2022-05-02T05:24:25Z"
"spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:7iLuHJkrb9KHPkMgddYigh","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec","1","13","292613","https://p.scdn.co/mp3-preview/afa4046ded9f2958de457a2d1ebcfbb9bd2d1a53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","SEAYD7901120","spotify:user:sebastianelisapfeifer","2022-07-25T18:43:32Z"
"spotify:track:5lWSa1rmuSL6OBPOnkAqoa","Rasputin","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","spotify:album:155cebHEGGBqYJAXKWJw6D","Daddy Cool","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","1994-03-14","https://i.scdn.co/image/ab67616d0000b273d792d961638fd28f8d281947","1","3","220666","https://p.scdn.co/mp3-preview/65c491cb07fec8853b2451c409d498ec2e55f2ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","DED160000010","spotify:user:sebastianelisapfeifer","2022-07-25T18:53:10Z"
